Player,Positon,Apps,Min,Goals,Assists,sh90,xG,xA,xG90,xA90
Mason Mount,M,19,1253,7,5,2.8,5.08,4.18,0.36,0.3
Jorginho,M,18,1373,6,1,0.79,5.06,2.09,0.33,0.14
Romelu Lukaku,F,14,907,5,0,2.28,4.54,2.22,0.45,0.22
Reece James,D,16,1114,4,5,1.7,1.88,3.71,0.15,0.3
Ben Chilwell,D,6,540,3,1,2.17,1.3,0.83,0.22,0.14
Christian Pulisic,F,12,748,3,0,1.44,3.27,0.42,0.39,0.05
N'Golo Kante,M,13,860,2,1,0.84,0.85,1.02,0.09,0.11
Antonio Rudiger,D,21,1890,2,0,1.29,1.69,0.65,0.08,0.03
Thiago Silva,D,18,1451,2,0,0.62,0.77,0.18,0.05,0.01
Kai Havertz,F,15,953,2,1,2.55,3.86,1.21,0.36,0.11
Trevoh Chalobah,D,14,919,2,0,0.39,0.61,0.05,0.06,0
Timo Werner,F,10,564,1,1,3.03,2.65,0.09,0.42,0.01
Marcos Alonso,D,16,1352,1,2,1.4,1.58,2.88,0.1,0.19
Calum Hudson-Odoi,F,13,791,1,1,1.71,2.34,2.5,0.27,0.28
Hakim Ziyech,F,11,618,1,2,4.08,2.22,2.05,0.32,0.3
Andreas Christensen,D,13,1001,0,0,0.27,0.55,0.12,0.05,0.01
Ross Barkley,M,5,145,0,0,3.72,0.77,0.58,0.48,0.36
Cesar Azpilicueta,D,15,1223,0,2,0.44,0.74,1.75,0.05,0.13
Ruben Loftus Cheek,M,12,668,0,2,1.83,0.76,1.35,0.1,0.18
Saul Niguez,M,5,165,0,0,0.55,0.06,0,0.03,0
