Team,Games Played,Goal Difference,xG,xGA,Net xG,xG Points,Points
Man City,22,41,47.2,13.7,33.5,62,56
Liverpool,21,37,54.5,19.5,35,51,45
Chelsea,22,28,40.9,21.7,19.2,44,43
West Ham,22,11,35.7,28.6,7.1,40,37
Man United,20,3,28.8,27.5,1.3,36,32
Arsenal,20,8,26.6,27.7,-1.1,35,35
Brighton,20,0,26.5,23,3.5,29,28
Brentford,21,-9,27,25.5,1.5,29,23
Wolves,20,2,22,24,-2,26,31
Southampton,21,-8,27.3,31.5,-4.2,25,24
Crystal Palace,21,-1,25.1,26.5,-1.4,24,24
Tottenham,18,3,23.9,22.4,1.5,23,33
Everton,19,-10,23.7,30,-6.3,23,19
Aston Villa,20,-5,20.2,26.6,-6.4,22,23
Leeds,20,-15,24.1,34.5,-10.4,17,22
Watford,19,-14,21.8,34.2,-12.4,16,14
Leicester,18,-2,25.3,33.4,-8.1,15,25
Burnley,17,-11,17.4,27.8,-10.4,12,11
Norwich,21,-35,15.2,36.3,-21.1,11,13
Newcastle,20,-23,18.1,36.9,-18.8,10,12
